start,end,duration_hr,P_in,peak_intensity_in_hr,Q_in,runoff_ratio
1997-10-17,1997-10-18 23:00:00,48.0,2.0100000000000002,0.050833333333333335,0.26468698744769875,0.13168506838193966
1997-10-25,1997-10-25 23:00:00,24.0,1.09,0.04541666666666667,0.3349045083682009,0.30725184253963383
1997-11-07,1997-11-09 23:00:00,72.0,3.630000000000001,0.10166666666666667,1.400849267782427,0.38590888919626076
1998-01-28,1998-01-29 23:00:00,48.0,2.2,0.05708333333333334,1.610529288702929,0.7320587675922404
1998-02-04,1998-02-06 23:00:00,72.0,3.029999999999999,0.10458333333333332,2.21272719665272,0.7302730021956174
1998-02-17,1998-02-19 23:00:00,72.0,1.7300000000000002,0.06458333333333334,1.0332284518828452,0.5972418797010665
1998-02-24,1998-02-24 23:00:00,24.0,1.45,0.06041666666666667,0.5383991631799163,0.3713097677102871
1998-03-08,1998-03-09 23:00:00,48.0,1.54,0.05291666666666667,0.6364313807531381,0.41326713035918056
1998-03-18,1998-03-22 23:00:00,120.0,3.75,0.07166666666666667,2.2570152558738337,0.601870734899689
1998-04-02,1998-04-02 23:00:00,24.0,1.15,0.04791666666666666,0.27148181311018127,0.23607114183494024
1998-04-17,1998-04-20 23:00:00,96.0,1.18,0.02625,0.3308198326359833,0.2803557903694774
1998-05-02,1998-05-04 23:00:00,72.0,1.77,0.03375,0.7184583383144054,0.40590866571435336
1998-05-06,1998-05-13 23:00:00,192.0,2.31,0.034583333333333334,0.6001972504482966,0.25982564954471715
1998-06-10,1998-06-17 23:00:00,192.0,2.97,0.034583333333333334,1.3079780055788008,0.44039663487501707
1998-06-23,1998-06-24 23:00:00,48.0,1.31,0.028333333333333335,0.319668019525802,0.24402138895099387
1998-08-11,1998-08-11 23:00:00,24.0,1.29,0.05375,0.01851719665271967,0.014354416009860208
1998-09-22,1998-09-23 23:00:00,48.0,1.3000000000000003,0.042916666666666665,0.14120685104602512,0.10862065465078853
1998-10-08,1998-10-09 23:00:00,48.0,1.2,0.03333333333333333,0.17259005379557685,0.1438250448296474
1999-01-03,1999-01-03 23:00:00,24.0,1.23,0.05125,0.39249195258019526,0.31909914843918313
1999-01-08,1999-01-09 23:00:00,48.0,1.0899999999999999,0.041666666666666664,0.06940058577405858,0.06367026217803541
1999-01-22,1999-01-25 23:00:00,96.0,2.11,0.04416666666666667,0.6281842259414226,0.29771764262626665
1999-03-15,1999-03-15 23:00:00,24.0,1.29,0.05375,0.5026096234309624,0.38961986312477703
1999-05-23,1999-05-25 23:00:00,72.0,1.1300000000000001,0.03291666666666667,0.2151729372384938,0.1904185285296405
1999-08-26,1999-08-28 23:00:00,72.0,2.2,0.06958333333333333,0.1459279581589958,0.06633089007227082
1999-09-05,1999-09-10 23:00:00,144.0,4.1899999999999995,0.06416666666666666,0.8181551029288703,0.19526374771572086
1999-09-15,1999-09-17 23:00:00,72.0,3.5900000000000007,0.08916666666666667,1.9014360041841007,0.5296479120289973
1999-09-21,1999-09-22 23:00:00,48.0,1.5100000000000002,0.035833333333333335,0.775154748953975,0.5133475158635595
1999-09-28,1999-09-30 23:00:00,72.0,1.58,0.052083333333333336,0.7084995098625224,0.4484174113053939
1999-11-26,1999-11-27 23:00:00,48.0,1.3099999999999998,0.048749999999999995,0.39095474705211114,0.2984387382077185
